game,wins
qrr_1,91
qrr_1,86
qrr_1,87
qrr_1,93
qrr_1,94
qrr_1,88
qrr_1,90
qrr_1,90
qrr_1,83
qrr_1,86
qrr_1,86
qrr_1,86
qrr_1,91
qrr_1,83
qrr_1,86
qrr_1,84
qrr_1,88
qrr_1,91
qrr_1,85
qrr_1,85
qrr_1,91
qrr_1,83
qrr_1,85
qrr_1,84
qrr_1,88
qrr_1,88
qrr_1,87
qrr_1,82
qrr_1,90
qrr_1,82
qrr_1,90
qrr_1,89
qrr_1,80
qrr_1,86
qrr_1,87
qrr_1,87
qrr_1,91
qrr_1,89
qrr_1,80
qrr_1,85
qrr_1,89
qrr_1,89
qrr_1,85
qrr_1,88
qrr_1,83
qrr_1,91
qrr_1,78
qrr_1,88
qrr_1,87
qrr_1,87
qrr_1,88
qrr_1,87
qrr_1,84
qrr_1,84
qrr_1,85
qrr_1,88
qrr_1,86
qrr_1,86
qrr_1,92
qrr_1,84
qrr_1,85
qrr_1,83
qrr_1,91
qrr_1,87
qrr_1,89
qrr_1,86
qrr_1,84
qrr_1,90
qrr_1,89
qrr_1,96
qrr_1,80
qrr_1,84
qrr_1,83
qrr_1,84
qrr_1,85
qrr_1,81
qrr_1,79
qrr_1,85
qrr_1,83
qrr_1,81
qrr_1,87
qrr_1,85
qrr_1,81
qrr_1,86
qrr_1,84
qrr_1,81
qrr_1,83
qrr_1,89
qrr_1,85
qrr_1,89
qrr_1,85
qrr_1,83
qrr_1,90
qrr_1,85
qrr_1,82
qrr_1,85
qrr_1,85
qrr_1,85
qrr_1,78
qrr_1,86
qhh_1,56
qhh_1,64
qhh_1,62
qhh_1,66
qhh_1,66
qhh_1,62
qhh_1,67
qhh_1,71
qhh_1,63
qhh_1,67
qhh_1,64
qhh_1,68
qhh_1,64
qhh_1,60
qhh_1,65
qhh_1,67
qhh_1,64
qhh_1,75
qhh_1,71
qhh_1,60
qhh_1,62
qhh_1,63
qhh_1,65
qhh_1,61
qhh_1,74
qhh_1,72
qhh_1,65
qhh_1,64
qhh_1,62
qhh_1,64
qhh_1,68
qhh_1,71
qhh_1,63
qhh_1,59
qhh_1,74
qhh_1,58
qhh_1,61
qhh_1,66
qhh_1,69
qhh_1,69
qhh_1,64
qhh_1,61
qhh_1,72
qhh_1,70
qhh_1,64
qhh_1,73
qhh_1,55
qhh_1,56
qhh_1,62
qhh_1,75
qhh_1,64
qhh_1,65
qhh_1,67
qhh_1,59
qhh_1,70
qhh_1,63
qhh_1,51
qhh_1,66
qhh_1,65
qhh_1,60
qhh_1,66
qhh_1,65
qhh_1,61
qhh_1,57
qhh_1,64
qhh_1,70
qhh_1,66
qhh_1,66
qhh_1,71
qhh_1,67
qhh_1,68
qhh_1,67
qhh_1,67
qhh_1,75
qhh_1,55
qhh_1,64
qhh_1,71
qhh_1,67
qhh_1,76
qhh_1,65
qhh_1,60
qhh_1,69
qhh_1,60
qhh_1,58
qhh_1,63
qhh_1,66
qhh_1,55
qhh_1,59
qhh_1,64
qhh_1,77
qhh_1,64
qhh_1,69
qhh_1,63
qhh_1,67
qhh_1,65
qhh_1,59
qhh_1,66
qhh_1,67
qhh_1,70
qhh_1,65
qoo_1,33
qoo_1,31
qoo_1,37
qoo_1,33
qoo_1,35
qoo_1,32
qoo_1,33
qoo_1,28
qoo_1,23
qoo_1,36
qoo_1,33
qoo_1,24
qoo_1,32
qoo_1,35
qoo_1,35
qoo_1,44
qoo_1,33
qoo_1,32
qoo_1,38
qoo_1,42
qoo_1,46
qoo_1,27
qoo_1,34
qoo_1,33
qoo_1,34
qoo_1,27
qoo_1,38
qoo_1,30
qoo_1,35
qoo_1,29
qoo_1,32
qoo_1,33
qoo_1,31
qoo_1,30
qoo_1,36
qoo_1,41
qoo_1,37
qoo_1,24
qoo_1,27
qoo_1,32
qoo_1,27
qoo_1,30
qoo_1,33
qoo_1,32
qoo_1,35
qoo_1,33
qoo_1,27
qoo_1,34
qoo_1,39
qoo_1,46
qoo_1,45
qoo_1,31
qoo_1,33
qoo_1,38
qoo_1,34
qoo_1,39
qoo_1,33
qoo_1,38
qoo_1,43
qoo_1,36
qoo_1,31
qoo_1,37
qoo_1,30
qoo_1,36
qoo_1,41
qoo_1,31
qoo_1,29
qoo_1,34
qoo_1,33
qoo_1,34
qoo_1,39
qoo_1,29
qoo_1,40
qoo_1,39
qoo_1,38
qoo_1,35
qoo_1,41
qoo_1,43
qoo_1,26
qoo_1,32
qoo_1,32
qoo_1,33
qoo_1,32
qoo_1,39
qoo_1,26
qoo_1,39
qoo_1,38
qoo_1,36
qoo_1,36
qoo_1,34
qoo_1,25
qoo_1,31
qoo_1,34
qoo_1,32
qoo_1,34
qoo_1,39
qoo_1,35
qoo_1,32
qoo_1,28
qoo_1,34
qrr_2,93
qrr_2,96
qrr_2,88
qrr_2,91
qrr_2,91
qrr_2,91
qrr_2,92
qrr_2,92
qrr_2,93
qrr_2,93
qrr_2,87
qrr_2,86
qrr_2,95
qrr_2,91
qrr_2,90
qrr_2,94
qrr_2,90
qrr_2,95
qrr_2,89
qrr_2,90
qrr_2,87
qrr_2,91
qrr_2,90
qrr_2,90
qrr_2,92
qrr_2,88
qrr_2,88
qrr_2,97
qrr_2,94
qrr_2,88
qrr_2,89
qrr_2,91
qrr_2,93
qrr_2,87
qrr_2,94
qrr_2,89
qrr_2,91
qrr_2,89
qrr_2,87
qrr_2,90
qrr_2,90
qrr_2,89
qrr_2,88
qrr_2,92
qrr_2,94
qrr_2,90
qrr_2,90
qrr_2,91
qrr_2,93
qrr_2,91
qrr_2,94
qrr_2,90
qrr_2,93
qrr_2,93
qrr_2,90
qrr_2,91
qrr_2,90
qrr_2,91
qrr_2,86
qrr_2,96
qrr_2,93
qrr_2,93
qrr_2,90
qrr_2,94
qrr_2,89
qrr_2,92
qrr_2,93
qrr_2,91
qrr_2,88
qrr_2,91
qrr_2,86
qrr_2,90
qrr_2,98
qrr_2,93
qrr_2,85
qrr_2,92
qrr_2,95
qrr_2,93
qrr_2,91
qrr_2,91
qrr_2,88
qrr_2,94
qrr_2,94
qrr_2,91
qrr_2,97
qrr_2,94
qrr_2,90
qrr_2,95
qrr_2,86
qrr_2,92
qrr_2,91
qrr_2,90
qrr_2,92
qrr_2,93
qrr_2,95
qrr_2,87
qrr_2,91
qrr_2,96
qrr_2,90
qrr_2,94
qhh_2,67
qhh_2,70
qhh_2,62
qhh_2,69
qhh_2,69
qhh_2,58
qhh_2,59
qhh_2,60
qhh_2,72
qhh_2,65
qhh_2,74
qhh_2,59
qhh_2,71
qhh_2,70
qhh_2,70
qhh_2,71
qhh_2,67
qhh_2,67
qhh_2,66
qhh_2,59
qhh_2,66
qhh_2,73
qhh_2,67
qhh_2,64
qhh_2,72
qhh_2,71
qhh_2,60
qhh_2,67
qhh_2,69
qhh_2,61
qhh_2,64
qhh_2,63
qhh_2,68
qhh_2,69
qhh_2,71
qhh_2,60
qhh_2,66
qhh_2,69
qhh_2,70
qhh_2,71
qhh_2,68
qhh_2,62
qhh_2,73
qhh_2,61
qhh_2,64
qhh_2,70
qhh_2,64
qhh_2,59
qhh_2,69
qhh_2,60
qhh_2,61
qhh_2,71
qhh_2,55
qhh_2,59
qhh_2,72
qhh_2,67
qhh_2,60
qhh_2,64
qhh_2,67
qhh_2,61
qhh_2,67
qhh_2,77
qhh_2,58
qhh_2,68
qhh_2,73
qhh_2,60
qhh_2,56
qhh_2,68
qhh_2,59
qhh_2,76
qhh_2,49
qhh_2,64
qhh_2,51
qhh_2,66
qhh_2,64
qhh_2,67
qhh_2,67
qhh_2,67
qhh_2,60
qhh_2,59
qhh_2,74
qhh_2,56
qhh_2,65
qhh_2,68
qhh_2,65
qhh_2,69
qhh_2,70
qhh_2,72
qhh_2,73
qhh_2,63
qhh_2,75
qhh_2,69
qhh_2,64
qhh_2,66
qhh_2,74
qhh_2,66
qhh_2,57
qhh_2,63
qhh_2,53
qhh_2,63
qoo_2,30
qoo_2,21
qoo_2,30
qoo_2,21
qoo_2,21
qoo_2,20
qoo_2,15
qoo_2,28
qoo_2,17
qoo_2,19
qoo_2,27
qoo_2,27
qoo_2,25
qoo_2,26
qoo_2,27
qoo_2,28
qoo_2,25
qoo_2,20
qoo_2,24
qoo_2,25
qoo_2,25
qoo_2,26
qoo_2,26
qoo_2,24
qoo_2,30
qoo_2,15
qoo_2,25
qoo_2,26
qoo_2,23
qoo_2,19
qoo_2,24
qoo_2,22
qoo_2,25
qoo_2,19
qoo_2,27
qoo_2,18
qoo_2,19
qoo_2,30
qoo_2,23
qoo_2,28
qoo_2,23
qoo_2,19
qoo_2,18
qoo_2,25
qoo_2,22
qoo_2,22
qoo_2,17
qoo_2,22
qoo_2,25
qoo_2,22
qoo_2,24
qoo_2,27
qoo_2,15
qoo_2,21
qoo_2,21
qoo_2,23
qoo_2,19
qoo_2,28
qoo_2,28
qoo_2,20
qoo_2,20
qoo_2,19
qoo_2,21
qoo_2,28
qoo_2,20
qoo_2,15
qoo_2,21
qoo_2,19
qoo_2,26
qoo_2,18
qoo_2,23
qoo_2,21
qoo_2,28
qoo_2,22
qoo_2,26
qoo_2,26
qoo_2,19
qoo_2,22
qoo_2,30
qoo_2,24
qoo_2,15
qoo_2,27
qoo_2,24
qoo_2,21
qoo_2,23
qoo_2,27
qoo_2,23
qoo_2,27
qoo_2,22
qoo_2,23
qoo_2,25
qoo_2,22
qoo_2,20
qoo_2,17
qoo_2,24
qoo_2,30
qoo_2,22
qoo_2,14
qoo_2,30
qoo_2,28
brr,97
brr,98
brr,99
brr,99
brr,99
brr,97
brr,96
brr,97
brr,96
brr,97
brr,98
brr,98
brr,98
brr,98
brr,100
brr,96
brr,96
brr,100
brr,97
brr,98
brr,100
brr,98
brr,99
brr,98
brr,98
brr,99
brr,99
brr,98
brr,96
brr,99
brr,99
brr,96
brr,99
brr,98
brr,100
brr,98
brr,98
brr,98
brr,96
brr,98
brr,97
brr,100
brr,99
brr,96
brr,99
brr,100
brr,98
brr,97
brr,99
brr,97
brr,97
brr,99
brr,97
brr,95
brr,98
brr,99
brr,99
brr,100
brr,97
brr,98
brr,98
brr,95
brr,98
brr,100
brr,98
brr,99
brr,98
brr,97
brr,97
brr,98
brr,98
brr,99
brr,96
brr,99
brr,99
brr,99
brr,98
brr,97
brr,99
brr,97
brr,96
brr,99
brr,96
brr,97
brr,99
brr,98
brr,98
brr,96
brr,99
brr,95
brr,97
brr,98
brr,96
brr,98
brr,99
brr,96
brr,95
brr,99
brr,95
brr,93
bhh,38
bhh,46
bhh,43
bhh,29
bhh,40
bhh,38
bhh,42
bhh,48
bhh,44
bhh,37
bhh,41
bhh,43
bhh,42
bhh,45
bhh,48
bhh,33
bhh,45
bhh,54
bhh,47
bhh,38
bhh,43
bhh,48
bhh,37
bhh,44
bhh,44
bhh,38
bhh,48
bhh,42
bhh,38
bhh,41
bhh,42
bhh,47
bhh,39
bhh,38
bhh,46
bhh,45
bhh,46
bhh,45
bhh,44
bhh,44
bhh,37
bhh,34
bhh,48
bhh,40
bhh,40
bhh,38
bhh,44
bhh,40
bhh,41
bhh,44
bhh,41
bhh,46
bhh,36
bhh,36
bhh,47
bhh,43
bhh,46
bhh,44
bhh,37
bhh,47
bhh,43
bhh,44
bhh,51
bhh,50
bhh,40
bhh,42
bhh,51
bhh,49
bhh,41
bhh,48
bhh,41
bhh,48
bhh,50
bhh,51
bhh,44
bhh,44
bhh,46
bhh,43
bhh,43
bhh,46
bhh,45
bhh,40
bhh,38
bhh,39
bhh,44
bhh,47
bhh,40
bhh,45
bhh,44
bhh,51
bhh,48
bhh,45
bhh,44
bhh,38
bhh,41
bhh,51
bhh,50
bhh,52
bhh,41
bhh,45
boo,8
boo,6
boo,5
boo,8
boo,4
boo,4
boo,3
boo,8
boo,6
boo,4
boo,6
boo,8
boo,12
boo,4
boo,5
boo,6
boo,4
boo,3
boo,5
boo,8
boo,4
boo,2
boo,4
boo,6
boo,7
boo,5
boo,5
boo,5
boo,5
boo,3
boo,6
boo,1
boo,6
boo,6
boo,4
boo,7
boo,7
boo,4
boo,6
boo,5
boo,5
boo,5
boo,4
boo,8
boo,3
boo,0
boo,6
boo,9
boo,5
boo,5
boo,3
boo,7
boo,8
boo,5
boo,6
boo,6
boo,3
boo,5
boo,9
boo,9
boo,2
boo,5
boo,1
boo,6
boo,1
boo,5
boo,7
boo,7
boo,6
boo,4
boo,5
boo,8
boo,2
boo,6
boo,3
boo,5
boo,7
boo,7
boo,8
boo,3
boo,5
boo,6
boo,2
boo,6
boo,3
boo,6
boo,10
boo,9
boo,4
boo,4
boo,4
boo,7
boo,7
boo,6
boo,4
boo,4
boo,10
boo,8
boo,6
boo,4
